Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12483.0,14,11,2635.6,5,5,5,555,Champions
12484.0,119,6,1828.43,2,4,4,244,Big Spenders
12485.0,165,1,708.1,2,1,3,213,At Risk
12486.0,67,1,1037.28,3,1,4,314,Big Spenders
12487.0,366,1,285.29999999999995,1,1,2,112,At Risk
12490.0,14,11,4405.71,5,5,5,555,Champions
12492.0,39,1,452.0,3,1,2,312,Others
12494.0,1,3,626.77,5,3,3,533,Others
12495.0,276,1,357.4,1,1,2,112,At Risk
12496.0,256,2,54.09,1,2,1,121,At Risk
12497.0,36,2,5205.400000000001,4,2,5,425,Big Spenders
12499.0,196,1,393.72,1,1,2,112,At Risk
12500.0,71,8,1697.39,3,5,4,354,Big Spenders
12503.0,220,1,1126.0,1,1,4,114,Big Spenders
12504.0,53,2,297.0,3,2,2,322,Others
12505.0,44,1,955.2,3,1,3,313,Others
12507.0,220,1,539.25,1,1,3,113,At Risk
12510.0,95,7,4195.45,2,5,5,255,Big Spenders
12511.0,64,1,3084.02,3,1,5,315,Big Spenders
12514.0,277,1,580.08,1,1,3,113,At Risk
12516.0,66,2,1336.56,3,2,4,324,Big Spenders
12519.0,112,1,385.7,2,1,2,212,At Risk
12523.0,10,12,2582.38,5,5,5,555,Champions
12524.0,24,9,6640.39,4,5,5,455,Loyal Customers
12525.0,134,3,973.73,2,3,3,233,Others
12527.0,130,2,386.8,2,2,2,222,At Risk
12529.0,164,1,316.48,2,1,2,212,At Risk
12530.0,51,5,2096.98,3,4,4,344,Big Spenders
12531.0,322,1,1807.98,1,1,4,114,Big Spenders
12533.0,263,2,1367.89,1,2,4,124,Big Spenders
12537.0,44,1,732.94,3,1,3,313,Others
12538.0,14,1,276.5,5,1,2,512,Others
12539.0,86,3,5646.400000000001,2,3,5,235,Big Spenders
12540.0,14,16,8854.25,5,5,5,555,Champions
12542.0,120,2,481.88,2,2,2,222,At Risk
12543.0,84,1,980.25,2,1,3,213,At Risk
12547.0,136,1,175.78,2,1,1,211,At Risk
12549.0,211,6,1575.68,1,4,4,144,Big Spenders
12553.0,21,2,916.47,4,2,3,423,Others
12554.0,84,1,468.5,2,1,2,212,At Risk
12555.0,318,1,129.23,1,1,1,111,At Risk
12557.0,7,4,6725.18,5,4,5,545,Loyal Customers
12562.0,21,2,1185.18,4,2,4,424,Big Spenders
12563.0,44,1,249.24,3,1,1,311,Others
12567.0,3,7,4308.58,5,5,5,555,Champions
12568.0,280,1,70.0,1,1,1,111,At Risk
12570.0,318,1,77.52,1,1,1,111,At Risk
12573.0,17,4,556.87,4,4,3,443,Loyal Customers
12575.0,93,2,622.8199999999999,2,2,3,223,At Risk
12576.0,28,3,826.89,4,3,3,433,Others
12577.0,17,5,995.9499999999999,4,4,4,444,Loyal Customers
12578.0,21,2,1847.94,4,2,4,424,Big Spenders
12580.0,212,1,637.2,1,1,3,113,At Risk
12582.0,58,2,1469.04,3,2,4,324,Big Spenders
12583.0,9,13,7166.0599999999995,5,5,5,555,Champions
12586.0,10,3,1865.73,5,3,4,534,Big Spenders
12588.0,35,3,743.88,4,3,3,433,Others
12589.0,57,6,4048.98,3,4,5,345,Big Spenders
12591.0,26,2,899.3,4,2,3,423,Others
12592.0,155,3,2145.06,2,3,4,234,Big Spenders
12594.0,14,5,1751.89,5,4,4,544,Loyal Customers
12595.0,140,1,299.02,2,1,2,212,At Risk
12598.0,99,3,1511.01,2,3,4,234,Big Spenders
12599.0,17,6,1264.14,4,4,4,444,Loyal Customers
12600.0,7,12,2444.88,5,5,5,555,Champions
12601.0,40,1,104.19999999999999,3,1,1,311,Others
12605.0,12,4,1232.95,5,4,4,544,Loyal Customers
12606.0,318,1,21.0,1,1,1,111,At Risk
12608.0,40,1,415.79,3,1,2,312,Others
12609.0,10,6,2309.01,5,4,5,545,Loyal Customers
12613.0,24,5,3490.69,4,4,5,445,Loyal Customers
12615.0,49,4,3449.79,3,4,5,345,Big Spenders
12616.0,24,1,417.8,4,1,2,412,Others
12619.0,196,1,140.14,1,1,1,111,At Risk
12621.0,1,16,11086.14,5,5,5,555,Champions
12623.0,52,6,3442.7400000000002,3,4,5,345,Big Spenders
12625.0,145,2,2481.06,2,2,5,225,Big Spenders
12629.0,21,2,1558.22,4,2,4,424,Big Spenders
12631.0,92,5,2841.07,2,4,5,245,Big Spenders
12632.0,156,2,804.88,2,2,3,223,At Risk
12633.0,18,3,3514.18,4,3,5,435,Big Spenders
12634.0,171,2,490.0,2,2,2,222,At Risk
12635.0,28,2,1241.23,4,2,4,424,Big Spenders
12636.0,374,1,141.0,1,1,1,111,At Risk
12637.0,14,4,2318.41,5,4,5,545,Loyal Customers
12638.0,275,1,249.8,1,1,1,111,At Risk
12639.0,70,2,826.27,3,2,3,323,Others
12643.0,21,6,5005.78,4,4,5,445,Loyal Customers
12644.0,66,3,1440.58,3,3,4,334,Big Spenders
12645.0,45,4,1764.12,3,4,4,344,Big Spenders
12647.0,3,27,14201.53,5,5,5,555,Champions
12648.0,73,3,793.95,2,3,3,233,Others
12649.0,18,5,1671.1399999999999,4,4,4,444,Loyal Customers
12651.0,14,3,263.75,5,3,2,532,Others
12652.0,70,1,97.05000000000001,3,1,1,311,Others
12653.0,162,1,1950.98,2,1,4,214,Big Spenders
12655.0,59,1,261.35,3,1,2,312,Others
12656.0,61,3,2356.66,3,3,5,335,Big Spenders
12661.0,72,1,162.0,2,1,1,211,At Risk
12662.0,9,10,3138.2400000000002,5,5,5,555,Champions
12663.0,260,2,239.4,1,2,1,121,At Risk
12664.0,150,2,1188.16,2,2,4,224,Big Spenders
12665.0,53,2,250.6,3,2,1,321,Others
12666.0,30,1,1248.42,4,1,4,414,Big Spenders
12668.0,14,6,7637.53,5,4,5,545,Loyal Customers
12670.0,21,2,764.24,4,2,3,423,Others
12671.0,242,1,2622.481,1,1,5,115,Big Spenders
12672.0,231,1,211.15,1,1,1,111,At Risk
12673.0,37,1,619.5,3,1,3,313,Others
12675.0,189,2,958.5,1,2,3,123,At Risk
12676.0,44,5,1511.7,3,4,4,344,Big Spenders
12677.0,191,2,395.1,1,2,2,122,At Risk
12678.0,11,9,16652.72,5,5,5,555,Champions
12681.0,3,24,17080.74,5,5,5,555,Champions
12682.0,1,23,11745.69,5,5,5,555,Champions
12683.0,1,8,4220.21,5,5,5,555,Champions
12686.0,7,1,89.14,5,1,1,511,Others
12687.0,116,2,2138.91,2,2,4,224,Big Spenders
12691.0,56,1,134.6,3,1,1,311,Others
12692.0,273,1,110.95,1,1,1,111,At Risk
12693.0,32,3,847.11,4,3,3,433,Others
12694.0,57,1,973.68,3,1,3,313,Others
12695.0,164,3,825.02,2,3,3,233,Others
12696.0,70,2,851.91,3,2,3,323,Others
12698.0,226,1,339.75,1,1,2,112,At Risk
12699.0,53,1,638.11,3,1,3,313,Others
12701.0,165,4,1648.7,2,4,4,244,Big Spenders
12703.0,269,3,722.98,1,3,3,133,Others
12705.0,19,5,4893.81,4,4,5,445,Loyal Customers
12708.0,4,9,2601.19,5,5,5,555,Champions
12709.0,2,20,21356.82,5,5,5,555,Champions
12711.0,247,2,1339.05,1,2,4,124,Big Spenders
12712.0,1,10,2797.53,5,5,5,555,Champions
12714.0,24,7,9384.85,4,5,5,455,Loyal Customers
12717.0,226,1,277.93,1,1,2,112,At Risk
12720.0,5,6,2478.94,5,4,5,545,Loyal Customers
12721.0,21,2,1356.95,4,2,4,424,Big Spenders
12724.0,19,3,1286.11,4,3,4,434,Big Spenders
12725.0,7,4,2266.76,5,4,5,545,Loyal Customers
12726.0,23,4,1405.5,4,4,4,444,Loyal Customers
12727.0,78,3,1698.8300000000002,2,3,4,234,Big Spenders
12728.0,19,1,233.84,4,1,1,411,Others
12730.0,157,1,829.25,2,1,3,213,At Risk
12731.0,78,5,6879.8,2,4,5,245,Big Spenders
12733.0,25,3,2040.92,4,3,4,434,Big Spenders
12734.0,10,2,529.25,5,2,3,523,Others
12737.0,134,2,3710.5,2,2,5,225,Big Spenders
12738.0,8,1,155.35,5,1,1,511,Others
12739.0,21,2,1713.69,4,2,4,424,Big Spenders
12741.0,165,2,406.07,2,2,2,222,At Risk
12742.0,261,1,1201.52,1,1,4,114,Big Spenders
12744.0,95,4,4037.77,2,4,5,245,Big Spenders
12745.0,122,3,925.41,2,3,3,233,Others
12746.0,176,1,254.55,2,1,2,212,At Risk
12747.0,5,16,5080.53,5,5,5,555,Champions
12748.0,1,144,22879.66,5,5,5,555,Champions
12749.0,35,4,2806.48,4,4,5,445,Loyal Customers
12751.0,80,1,268.27,2,1,2,212,At Risk
12755.0,1,10,5218.709999999999,5,5,5,555,Champions
12758.0,95,5,7111.650000000001,2,4,5,245,Big Spenders
12759.0,22,5,3489.3,4,4,5,445,Loyal Customers
12760.0,91,1,347.8,2,1,2,212,At Risk
12761.0,93,2,782.95,2,2,3,223,At Risk
12763.0,5,1,320.08,5,1,2,512,Others
12765.0,108,6,1404.58,2,4,4,244,Big Spenders
12766.0,2,3,3078.65,5,3,5,535,Big Spenders
12767.0,11,1,949.82,5,1,3,513,Others
12768.0,86,1,168.69000000000003,2,1,1,211,At Risk
12770.0,92,1,1895.0,2,1,4,214,Big Spenders
12771.0,121,1,282.3,2,1,2,212,At Risk
12773.0,200,1,124.25,1,1,1,111,At Risk
12774.0,171,1,98.7,2,1,1,211,At Risk
12775.0,24,2,300.08,4,2,2,422,Others
12776.0,303,1,55.5,1,1,1,111,At Risk
12777.0,93,1,519.45,2,1,3,213,At Risk
12778.0,32,3,953.45,4,3,3,433,Others
12779.0,7,7,2740.91,5,5,5,555,Champions
12780.0,234,1,337.4,1,1,2,112,At Risk
12782.0,10,6,2287.32,5,4,5,545,Loyal Customers
12784.0,165,1,1230.33,2,1,4,214,Big Spenders
12785.0,171,2,788.45,2,2,3,223,At Risk
12786.0,245,1,728.5,1,1,3,113,At Risk
12787.0,49,1,398.52,3,1,2,312,Others
12788.0,99,4,444.9,2,4,2,242,Others
12789.0,148,2,181.5,2,2,1,221,At Risk
12790.0,46,1,266.93,3,1,2,312,Others
12791.0,9,6,863.51,5,4,3,543,Loyal Customers
12792.0,170,1,426.47,2,1,2,212,At Risk
12793.0,7,2,471.85,5,2,2,522,Others
12796.0,264,1,381.0,1,1,2,112,At Risk
12797.0,1,2,552.08,5,2,3,523,Others
12798.0,57,1,1533.8899999999999,3,1,4,314,Big Spenders
12799.0,165,1,219.35,2,1,1,211,At Risk
12800.0,106,3,584.25,2,3,3,233,Others
12801.0,136,1,1071.82,2,1,4,214,Big Spenders
12802.0,78,6,1988.84,2,4,4,244,Big Spenders
12803.0,29,1,1092.81,4,1,4,414,Big Spenders
12804.0,101,2,327.02,2,2,2,222,At Risk
12805.0,17,4,1434.95,4,4,4,444,Loyal Customers
12806.0,71,4,2878.96,3,4,5,345,Big Spenders
12807.0,19,1,330.35,4,1,2,412,Others
12808.0,4,3,422.45,5,3,2,532,Others
12809.0,201,2,1266.63,1,2,4,124,Big Spenders
12810.0,170,2,534.99,2,2,3,223,At Risk
12811.0,14,2,519.05,5,2,3,523,Others
12813.0,137,3,1687.8,2,3,4,234,Big Spenders
12817.0,35,2,524.94,4,2,3,423,Others
12819.0,94,1,540.52,2,1,3,213,At Risk
12820.0,33,7,1747.18,4,5,4,454,Loyal Customers
12821.0,247,1,128.07999999999998,1,1,1,111,At Risk
12823.0,30,13,4742.0,4,5,5,455,Loyal Customers
12825.0,157,2,518.63,2,2,3,223,At Risk
12826.0,1,6,1481.03,5,4,4,544,Loyal Customers
12829.0,186,1,92.30000000000001,1,1,1,111,At Risk
12831.0,99,2,236.06,2,2,1,221,At Risk
12835.0,63,41,6043.31,3,5,5,355,Big Spenders
12836.0,25,11,3972.76,4,5,5,455,Loyal Customers
12837.0,205,1,554.31,1,1,3,113,At Risk
12838.0,9,9,2715.35,5,5,5,555,Champions
12839.0,3,13,4480.31,5,5,5,555,Champions
12840.0,73,3,1315.2,2,3,4,234,Big Spenders
12841.0,5,17,3518.33,5,5,5,555,Champions
12842.0,40,2,799.0,3,2,3,323,Others
12843.0,18,22,4886.15,4,5,5,455,Loyal Customers
12844.0,78,2,322.64,2,2,2,222,At Risk
12846.0,318,1,15.58,1,1,1,111,At Risk
12847.0,23,1,765.36,4,1,3,413,Others
12848.0,311,1,208.0,1,1,1,111,At Risk
12849.0,17,4,2039.67,4,4,4,444,Loyal Customers
12850.0,81,1,330.0,2,1,2,212,At Risk
12851.0,113,1,148.95,2,1,1,211,At Risk
12853.0,63,5,1950.4,3,4,4,344,Big Spenders
12854.0,197,4,1669.52,1,4,4,144,Big Spenders
12855.0,8,4,612.84,5,4,3,543,Loyal Customers
12857.0,72,4,2581.6,2,4,5,245,Big Spenders
12858.0,19,1,177.92,4,1,1,411,Others
12859.0,94,1,575.1,2,1,3,213,At Risk
12860.0,329,1,55.47,1,1,1,111,At Risk
12861.0,255,1,68.25,1,1,1,111,At Risk
12862.0,61,2,1008.3199999999999,3,2,4,324,Big Spenders
12863.0,15,5,2271.35,5,4,5,545,Loyal Customers
12864.0,144,1,152.45,2,1,1,211,At Risk
12865.0,14,2,1755.24,5,2,4,524,Big Spenders
12866.0,110,2,668.23,2,2,3,223,At Risk
12867.0,33,6,3876.47,4,4,5,445,Loyal Customers
12868.0,9,3,640.0,5,3,3,533,Others
12869.0,317,1,337.66999999999996,1,1,2,112,At Risk
12870.0,11,3,1676.95,5,3,4,534,Big Spenders
12871.0,75,1,363.38,2,1,2,212,At Risk
12872.0,1,11,3085.52,5,5,5,555,Champions
12873.0,33,2,1653.3,4,2,4,424,Big Spenders
12874.0,21,2,948.42,4,2,3,423,Others
12875.0,107,3,1013.76,2,3,4,234,Big Spenders
12876.0,30,2,1863.77,4,2,4,424,Big Spenders
12877.0,37,8,1419.4,3,5,4,354,Big Spenders
12880.0,17,2,640.13,4,2,3,423,Others
12887.0,19,1,222.4,4,1,1,411,Others
12889.0,17,4,385.46000000000004,4,4,2,442,Loyal Customers
12890.0,23,1,336.8,4,1,2,412,Others
12891.0,94,8,509.5,2,5,3,253,Others
12892.0,32,1,263.38,4,1,2,412,Others
12894.0,211,1,157.35,1,1,1,111,At Risk
12897.0,17,2,297.75,4,2,2,422,Others
12898.0,99,2,310.96000000000004,2,2,2,222,At Risk
12899.0,49,1,366.4,3,1,2,312,Others
12900.0,58,1,340.33,3,1,2,312,Others
12903.0,64,1,833.53,3,1,3,313,Others
12905.0,212,2,1018.42,1,2,4,124,Big Spenders
12907.0,31,2,508.91,4,2,3,423,Others
12908.0,16,3,1026.0,4,3,4,434,Big Spenders
12909.0,60,3,924.52,3,3,3,333,Others
12910.0,15,5,2721.48,5,4,5,545,Loyal Customers
12911.0,187,1,1680.47,1,1,4,114,Big Spenders
12913.0,4,9,4217.2300000000005,5,5,5,555,Champions
12914.0,36,1,223.98,4,1,1,411,Others
12915.0,8,3,811.1,5,3,3,533,Others
12916.0,78,3,1647.87,2,3,4,234,Big Spenders
12917.0,36,5,3765.2,4,4,5,445,Loyal Customers
12918.0,262,1,10953.5,1,1,5,115,Big Spenders
12920.0,207,3,323.86,1,3,2,132,Others
12921.0,2,39,19333.95,5,5,5,555,Champions
12923.0,26,2,612.9,4,2,3,423,Others
12924.0,29,8,1535.7,4,5,4,454,Loyal Customers
12925.0,228,1,35.28,1,1,1,111,At Risk
12926.0,47,4,1548.46,3,4,4,344,Big Spenders
12927.0,30,1,197.31,4,1,1,411,Others
12928.0,14,7,2242.19,5,5,5,555,Champions
12931.0,16,42,50291.38,4,5,5,455,Loyal Customers
12932.0,175,8,1698.56,2,5,4,254,Big Spenders
12933.0,16,5,1079.5,4,4,4,444,Loyal Customers
12934.0,372,1,181.65,1,1,1,111,At Risk
12935.0,11,8,2083.16,5,5,4,554,Loyal Customers
12937.0,99,5,1593.34,2,4,4,244,Big Spenders
12939.0,15,12,13683.0,5,5,5,555,Champions
12941.0,360,1,377.49,1,1,2,112,At Risk
12942.0,1,1,258.75,5,1,2,512,Others
12943.0,194,2,496.5,1,2,2,122,At Risk
12945.0,292,1,437.16,1,1,2,112,At Risk
12946.0,72,1,324.45,2,1,2,212,At Risk
12947.0,9,1,304.04,5,1,2,512,Others
12948.0,366,2,252.48000000000002,1,2,1,121,At Risk
12949.0,18,14,11359.48,4,5,5,455,Loyal Customers
12951.0,22,9,2149.65,4,5,5,455,Loyal Customers
12953.0,158,1,498.96000000000004,2,1,2,212,At Risk
12954.0,274,1,162.45,1,1,1,111,At Risk
12956.0,320,3,413.82,1,3,2,132,Others
12957.0,177,5,4689.43,1,4,5,145,Big Spenders
12958.0,36,2,539.49,4,2,3,423,Others
12959.0,120,1,150.95,2,1,1,211,At Risk
12960.0,49,4,1322.07,3,4,4,344,Big Spenders
12961.0,15,1,211.99,5,1,1,511,Others
12963.0,1,5,1744.96,5,4,4,544,Loyal Customers
12964.0,73,1,132.24,2,1,1,211,At Risk
12967.0,7,2,2646.02,5,2,5,525,Big Spenders
12969.0,238,1,122.45,1,1,1,111,At Risk
12970.0,16,6,1072.73,4,4,4,444,Loyal Customers
12971.0,2,33,4782.88,5,5,5,555,Champions
12972.0,49,4,1161.2,3,4,4,344,Big Spenders
12973.0,49,1,385.55,3,1,2,312,Others
12974.0,201,1,264.15,1,1,2,112,At Risk
12975.0,72,6,2100.09,2,4,4,244,Big Spenders
12976.0,14,7,2417.7799999999997,5,5,5,555,Champions
12977.0,137,3,478.39,2,3,2,232,Others
12978.0,21,5,2502.82,4,4,5,445,Loyal Customers
12979.0,365,1,517.7,1,1,3,113,At Risk
12980.0,22,12,8870.880000000001,4,5,5,455,Loyal Customers
12982.0,30,7,2354.27,4,5,5,455,Loyal Customers
12983.0,234,1,490.08000000000004,1,1,2,112,At Risk
12986.0,64,10,2729.84,3,5,5,355,Big Spenders
12987.0,56,3,753.51,3,3,3,333,Others
12989.0,60,18,6627.64,3,5,5,355,Big Spenders
12990.0,53,4,546.0,3,4,3,343,Others
12991.0,25,1,261.06,4,1,2,412,Others
12992.0,361,1,93.35000000000001,1,1,1,111,At Risk
12993.0,81,4,844.87,2,4,3,243,Others
12996.0,11,1,355.5,5,1,2,512,Others
12997.0,30,4,884.02,4,4,3,443,Loyal Customers
12998.0,128,3,920.08,2,3,3,233,Others
13000.0,361,1,497.65000000000003,1,1,2,112,At Risk
13001.0,40,20,14353.28,3,5,5,355,Big Spenders
13002.0,52,2,293.18,3,2,2,322,Others
13004.0,22,18,5994.94,4,5,5,455,Loyal Customers
13005.0,67,2,485.98,3,2,2,322,Others
13007.0,215,1,175.25,1,1,1,111,At Risk
13008.0,33,2,382.66,4,2,2,422,Others
13009.0,308,1,234.0,1,1,1,111,At Risk
13010.0,10,2,330.12,5,2,2,522,Others
13011.0,8,1,50.550000000000004,5,1,1,511,Others
13012.0,65,3,1310.99,3,3,4,334,Big Spenders
13013.0,7,18,7814.83,5,5,5,555,Champions
13014.0,68,1,1914.8,3,1,4,314,Big Spenders
13015.0,74,6,3240.14,2,4,5,245,Big Spenders
13018.0,49,7,2485.46,3,5,5,355,Big Spenders
13019.0,15,6,1229.95,5,4,4,544,Loyal Customers
13020.0,198,2,618.96,1,2,3,123,At Risk
13021.0,10,8,2270.86,5,5,5,555,Champions
13022.0,65,1,65.3,3,1,1,311,Others
13023.0,164,1,759.13,2,1,3,213,At Risk
13024.0,106,2,555.87,2,2,3,223,At Risk
13025.0,367,1,323.39,1,1,2,112,At Risk
13026.0,124,4,757.72,2,4,3,243,Others
13027.0,21,13,10423.2,4,5,5,455,Loyal Customers
13029.0,10,2,679.8,5,2,3,523,Others
13030.0,4,1,427.74,5,1,2,512,Others
13031.0,43,5,3419.27,3,4,5,345,Big Spenders
13032.0,28,7,1833.37,4,5,4,454,Loyal Customers
13033.0,65,1,30.0,3,1,1,311,Others
13034.0,5,2,279.91,5,2,2,522,Others
13035.0,67,1,442.32,3,1,2,312,Others
13036.0,320,1,307.1,1,1,2,112,At Risk
13037.0,35,9,3033.88,4,5,5,455,Loyal Customers
13039.0,220,4,1010.73,1,4,4,144,Big Spenders
13041.0,86,4,799.13,2,4,3,243,Others
13042.0,234,3,1556.54,1,3,4,134,Big Spenders
13044.0,128,10,4293.43,2,5,5,255,Big Spenders
13045.0,37,2,503.64,3,2,2,322,Others
13046.0,92,1,319.94,2,1,2,212,At Risk
13047.0,9,17,5557.62,5,5,5,555,Champions
13048.0,72,5,2248.3,2,4,5,245,Big Spenders
13049.0,25,2,751.5600000000001,4,2,3,423,Others
13050.0,2,19,6507.67,5,5,5,555,Champions
13051.0,214,2,155.8,1,2,1,121,At Risk
13052.0,56,6,2820.38,3,4,5,345,Big Spenders
13053.0,257,1,127.65,1,1,1,111,At Risk
13055.0,65,1,1106.7,3,1,4,314,Big Spenders
13056.0,187,1,209.48,1,1,1,111,At Risk
13057.0,166,3,722.09,2,3,3,233,Others
13059.0,49,9,2119.77,3,5,4,354,Big Spenders
13063.0,116,1,188.4,2,1,1,211,At Risk
13064.0,186,2,561.25,1,2,3,123,At Risk
13065.0,9,5,1055.05,5,4,4,544,Loyal Customers
13067.0,45,2,393.05,3,2,2,322,Others
13069.0,5,16,5247.01,5,5,5,555,Champions
13070.0,95,3,522.9,2,3,3,233,Others
13071.0,248,1,129.22,1,1,1,111,At Risk
13073.0,47,2,418.08,3,2,2,322,Others
13074.0,147,4,1378.74,2,4,4,244,Big Spenders
13076.0,93,1,135.4,2,1,1,211,At Risk
13077.0,2,8,2335.4,5,5,5,555,Champions
13078.0,2,32,16904.510000000002,5,5,5,555,Champions
13079.0,53,1,199.08,3,1,1,311,Others
13080.0,37,3,222.65,3,3,1,331,Others
13081.0,7,19,30867.77,5,5,5,555,Champions
13082.0,60,12,3722.12,3,5,5,355,Big Spenders
13083.0,61,1,91.67999999999999,3,1,1,311,Others
13084.0,127,1,122.39999999999999,2,1,1,211,At Risk
13085.0,315,6,2017.2,1,4,4,144,Big Spenders
13086.0,18,1,439.33000000000004,4,1,2,412,Others
13087.0,362,1,313.64,1,1,2,112,At Risk
13088.0,53,1,236.11,3,1,1,311,Others
13089.0,4,109,57912.03,5,5,5,555,Champions
13090.0,1,13,5192.27,5,5,5,555,Champions
13091.0,365,2,1976.0,1,2,4,124,Big Spenders
13092.0,50,7,1662.45,3,5,4,354,Big Spenders
13093.0,9,48,47111.18,5,5,5,555,Champions
13094.0,4,2,505.8,5,2,2,522,Others
13096.0,30,1,419.70000000000005,4,1,2,412,Others
